address,repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions
0x3bb638c1fdf2eacc053bca17149ad64c11ca09cd,1.2673,1.0518,0.000640,0.0000,1832,0.538755,0.000810,20,987
0xe4055766c1c2db0685df29808012e9caa1428826,1.4280,1.1852,0.001601,0.0000,1176,0.187925,0.002286,13,221
0x2885776d3eadcec3f51a3480139512f308b70206,2.8699,2.3820,0.445411,0.0000,288,0.152778,1.278284,2,44
0x18351027c3cc214dc8fc49ae581b9f0151bffe0c,0.0000,1.157920892373162e+59,0.000000,0.0000,249,0.080321,0.100015,1,20
0x110cf43a8719a1b074903269f082a7c216b1a466,0.0000,1.157920892373162e+59,0.000000,0.0000,1645,0.168389,0.002870,9,277
0xb117cd2c71b2de74cef5b9f9b8d466f904f5d0ad,0.0000,1.157920892373162e+59,0.000000,0.0000,2,1.000000,0.022905,0,2
0x9cd6658537ddbb63f075ec3e92e53ef3e723b195,2.6811,1.7427,3.710107,0.0000,2771,0.112956,9.947122,7,313
0x049acbb1951af2fa71705b250a589db20b9099aa,0.0000,1.157920892373162e+59,0.000000,0.0000,5,4.000000,2.620181,1,20
0xaa9d5bf2a19d3ff763459389308bbadce1284db2,1.3325,1.1060,0.000320,0.0000,1187,0.051390,0.000427,1,61
0xc7ff3334b6d305fc4d9bb0254b63395614fd640c,1.3325,1.1060,0.000320,0.0000,1187,0.048863,0.000427,1,58
0xfaa9a46c3f1dd5d888e0c52b5519a6d47d2e6524,1.3326,1.1061,0.000640,0.0000,1187,0.049705,0.000853,1,59
0xaa70b1e1d64aa177d2e61724dad7f16f2c2b9874,1.3326,1.1061,0.000640,0.0000,1187,0.069924,0.000853,2,83
0xa5d4a067fa86032a097c71853a126b969d2e51a7,1.3326,1.1061,0.000320,0.0000,1187,0.072452,0.000427,2,86
0xb374bdc6718b8f5ea3cb29b14f57140d06f04aff,1.3326,1.1061,0.000352,0.0000,1187,0.077506,0.000469,3,92
0x28df0301ba33a4eb79b802c79b81dff519964bb5,1.3326,1.1061,0.000640,0.0000,1187,0.081719,0.000853,3,97
0x8c66224142e7cc77e1bbf8ad0b917e4501127edd,1.3736,1.1401,0.000961,0.0000,1187,0.073294,0.001319,2,87
0xd095eb8a3e54aa1e8966be3556a7a183b45e251e,1.3979,1.1602,0.000449,0.0000,1156,0.441176,0.000627,9,510
0x2252050a7e42e6eaf47e04609140bf73e0f4a998,1.3945,1.1574,0.000959,0.0000,1680,0.130952,0.001337,13,220
0xe4eb8618c89cce2644707604ca9e0848af945028,1.3954,1.1582,0.001886,0.0000,1741,0.174038,0.002632,13,303
0x1bb77e121b1ac9083c3c958437086d93bab4b128,0.0000,1.157920892373162e+59,0.000000,0.0000,1363,0.219369,0.005654,13,299
0xc128170d8ae71d51dfabdccd1c0ff88444580597,1.4056,1.1666,0.002258,0.0000,1361,0.307127,0.003173,8,418
0x11080cc3cb83ae4a4241f48192794cb98c7a75c4,1.4056,1.1666,0.000449,0.0000,1319,0.125853,0.000631,1,166
0xe2a5db9e741cdf93e9c2eea6e4247ca58bf62024,0.0000,1.157920892373162e+59,0.000000,0.0000,1614,0.035316,0.120042,2,57
0x482562904a8990c55d7d58ea318bde477931a168,797731.6131,654139.9228,0.000068,0.0000,1779,1.415964,54.269843,11,2519
0x7f689846082b2b086fd9a899c61c16e9d0f6c31f,1.2170,1.0101,0.074039,0.0000,938,0.073561,0.090103,7,69
0x53e3aea8ba8f0d6cb821e650cee22c1f1e7dd12c,1.3789,1.1867,0.274764,0.0000,1001,0.273726,0.378865,3,274
0xc61c2f6769dad4b5a99fa13cead5e007739b85f1,0.0000,1.157920892373162e+59,0.000000,0.0000,1437,0.171886,0.002210,5,247
0x735587aa624a21bcdb2b4558dfed94508b32af83,1.8818,1.5430,5.936764,0.0000,1815,0.291460,11.171574,18,529
0x7b9deffca9356a99f95759afc6e709422d845a7c,3.7441,2.8830,0.000291,0.0000,1479,0.171062,0.001090,4,253
0x15b7ecf1f55d05dc8246c484230792e71bcb41a2,1.4784,1.2271,0.000322,0.0000,1330,0.100000,0.000476,6,133
0xa63fce6b18153fff324741789b49b1f0d885b174,1.4603,1.2120,0.000161,0.0000,1818,0.084708,0.000235,24,154
0x9d9c1715c66cbee0566f509b8db7344095d93622,1.4848,1.2324,0.000160,0.0000,2361,0.592969,0.000238,88,1400
0x8a0c098e896fa309828a35ce714403d23cbbcf3a,1.4848,1.2324,0.000278,0.0000,1349,0.631579,0.000413,45,852
0x32fdc6549b11badc23e8728b234b6b8b51d0445e,1.4852,1.2327,0.000160,0.0000,1147,0.046207,0.000238,1,53
0x19b421632a376335ab767e651e69ad9d378b2f54,1.4763,1.2266,0.000874,0.0000,1133,0.112092,0.001291,2,127
0x53d8edf6a54239eb785ec72213919fb6b6b73598,0.0000,1.157920892373162e+59,0.000000,0.0000,1658,1.337153,0.074671,18,2217
0x238643d4106c7c6206f8dc31acb59cd24c979d12,1.3333,1.1022,0.008629,0.0000,1242,2.707729,0.011504,9,3363
0x0985949bd60d4ff68043d461e8989bef8e9b3237,1.4405,1.1956,0.000960,0.0000,1370,0.251825,0.001383,6,345
0x239be1f15e673538b6b5b41ca843a9ae37fd7599,1.4169,1.1761,0.000962,0.0000,1441,0.292158,0.001363,16,421
0x12b21d1e73b3b48d73da04ed05417b392c7fe55f,1.4237,1.1817,0.000399,0.0000,1517,0.227423,0.000568,15,345
0xb3f2a049ba7ff3debad43515e8f29c9fc31c5d06,0.0000,1.157920892373162e+59,0.000000,0.0000,1518,0.075758,0.002733,5,115
0xfcaf23cd231a119c7eee6eb0d6a795de1739c541,1.5653,1.1682,0.003036,0.0000,1297,0.639167,0.004752,21,829
0xec75f9c19da955603c411f921048e7f864c6691b,7.2209,6.2100,2.619547,0.0000,1466,0.137108,18.915575,5,201
