address,repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions
0xaa9d5bf2a19d3ff763459389308bbadce1284db2,1.3348,1.1079,0.000320,0.0000,1187,0.051390,0.000427,38,61
0xc7ff3334b6d305fc4d9bb0254b63395614fd640c,1.3348,1.1079,0.000320,0.0000,1187,0.048863,0.000427,38,58
0xfaa9a46c3f1dd5d888e0c52b5519a6d47d2e6524,1.3349,1.1080,0.000639,0.0000,1187,0.049705,0.000853,39,59
0xaa70b1e1d64aa177d2e61724dad7f16f2c2b9874,1.3349,1.1080,0.000639,0.0000,1187,0.069924,0.000853,52,83
0xa5d4a067fa86032a097c71853a126b969d2e51a7,1.3349,1.1080,0.000320,0.0000,1187,0.072452,0.000427,57,86
0xb374bdc6718b8f5ea3cb29b14f57140d06f04aff,1.3349,1.1080,0.000352,0.0000,1187,0.077506,0.000469,58,92
0x28df0301ba33a4eb79b802c79b81dff519964bb5,1.3349,1.1080,0.000639,0.0000,1187,0.081719,0.000853,62,97
0x8c66224142e7cc77e1bbf8ad0b917e4501127edd,1.3759,1.1420,0.000959,0.0000,1187,0.073294,0.001319,56,87
0xd095eb8a3e54aa1e8966be3556a7a183b45e251e,1.4003,1.1622,0.000448,0.0000,1156,0.441176,0.000627,122,510
0x2252050a7e42e6eaf47e04609140bf73e0f4a998,1.3969,1.1594,0.000957,0.0000,1680,0.130952,0.001337,116,220
0xe4eb8618c89cce2644707604ca9e0848af945028,1.3978,1.1602,0.001883,0.0000,1741,0.174038,0.002632,138,303
0x1bb77e121b1ac9083c3c958437086d93bab4b128,0.0000,0.0000,0.000000,0.0000,1363,0.219369,0.005654,196,299
0xc128170d8ae71d51dfabdccd1c0ff88444580597,1.4080,1.1686,0.002254,0.0000,1361,0.307127,0.003173,141,418
0x11080cc3cb83ae4a4241f48192794cb98c7a75c4,1.4080,1.1686,0.000448,0.0000,1319,0.125853,0.000631,65,166
0xe2a5db9e741cdf93e9c2eea6e4247ca58bf62024,0.0000,0.0000,0.000000,0.0000,1614,0.035316,0.120042,30,57
0x482562904a8990c55d7d58ea318bde477931a168,799098.7112,655260.9432,0.000068,0.0000,1779,1.415964,54.269843,222,2519
0x7f689846082b2b086fd9a899c61c16e9d0f6c31f,1.2170,1.0101,0.074039,0.0000,938,0.073561,0.090103,22,69
0x53e3aea8ba8f0d6cb821e650cee22c1f1e7dd12c,1.3804,1.1879,0.274445,0.0000,1001,0.273726,0.378837,33,274
0xc61c2f6769dad4b5a99fa13cead5e007739b85f1,0.0000,0.0000,0.000000,0.0000,1437,0.171886,0.002203,109,247
0x735587aa624a21bcdb2b4558dfed94508b32af83,1.8850,1.5457,5.926595,0.0000,1815,0.291460,11.171574,112,529
0x7b9deffca9356a99f95759afc6e709422d845a7c,3.7438,2.8827,0.000291,0.0000,1479,0.171062,0.001088,69,253
0x15b7ecf1f55d05dc8246c484230792e71bcb41a2,1.4810,1.2292,0.000321,0.0000,1330,0.100000,0.000476,83,133
0xa63fce6b18153fff324741789b49b1f0d885b174,1.4628,1.2141,0.000161,0.0000,1818,0.084708,0.000235,79,154
0x9d9c1715c66cbee0566f509b8db7344095d93622,1.4873,1.2345,0.000160,0.0000,2361,0.592969,0.000238,449,1400
0x8a0c098e896fa309828a35ce714403d23cbbcf3a,1.4873,1.2345,0.000278,0.0000,1349,0.633062,0.000413,283,854
0x32fdc6549b11badc23e8728b234b6b8b51d0445e,1.4877,1.2348,0.000160,0.0000,1148,0.046167,0.000238,30,53
0x19b421632a376335ab767e651e69ad9d378b2f54,1.4788,1.2287,0.000873,0.0000,1133,0.112092,0.001290,62,127
0x53d8edf6a54239eb785ec72213919fb6b6b73598,0.0000,0.0000,0.000000,0.0000,1658,1.337153,0.074543,482,2217
0x238643d4106c7c6206f8dc31acb59cd24c979d12,1.3339,1.1027,0.008624,0.0000,1242,2.707729,0.011504,463,3363
0x0985949bd60d4ff68043d461e8989bef8e9b3237,1.4429,1.1976,0.000959,0.0000,1370,0.251825,0.001383,142,345
0x239be1f15e673538b6b5b41ca843a9ae37fd7599,1.4194,1.1781,0.000960,0.0000,1441,0.292158,0.001363,164,421
0x12b21d1e73b3b48d73da04ed05417b392c7fe55f,1.4262,1.1837,0.000398,0.0000,1517,0.227423,0.000568,87,345
0xb3f2a049ba7ff3debad43515e8f29c9fc31c5d06,0.0000,0.0000,0.000000,0.0000,1518,0.075758,0.002729,54,115
0xfcaf23cd231a119c7eee6eb0d6a795de1739c541,1.5653,1.1682,0.003030,0.0000,1297,0.639167,0.004743,115,829
0xec75f9c19da955603c411f921048e7f864c6691b,7.2333,6.2206,2.615069,0.0000,1466,0.137108,18.915576,59,201
0x82fae5e6f52fe2169e7f774e58585276c4d7f8da,0.0000,0.0000,0.000000,0.0000,75,0.186667,0.001001,7,14
0x0084ee6c8893c01e252198b56ec127443dc27464,1.1498,1.0061,3.872908,0.0000,1409,1.737402,4.453018,156,2448
0x20c0ffe245c1f21141dfef273de035e855e46b96,1.3521,1.1223,0.000634,0.0000,1140,0.281579,0.000857,147,321
0xc5293c9328e59bbe80c4d92ebbc3253e48d21397,1.3289,1.1030,0.000321,0.0000,1312,0.486280,0.000427,193,638
0x26d56f515e09885d9f3cdcff1699bce1d0a06031,0.0000,0.0000,0.000000,0.0000,11,0.272727,0.138357,4,3
0xbe9c0606aae22ae06c2400e132a699e082b2b169,0.0000,0.0000,0.000000,0.0000,1690,0.074556,0.021581,32,126
0x9237305e51715b47f24fbfc7c28810781d970809,1.3477,1.1186,0.000960,0.0000,1605,0.112773,0.001294,64,181
0x7876f6af2abc7a3dd0e31683ee4dfe694e8729c2,0.0000,0.0000,0.000000,0.0000,1565,0.398083,27.903711,63,623
0xf8f1e33fd68be886c9638a636a2ef716801383a4,0.0000,0.0000,0.000000,0.0000,1897,0.597786,0.001095,412,1134
0x669a6db19c3f688e81a45c080a4d58d038e4bbf3,1.5360,1.3210,0.018141,0.0000,1275,0.030588,0.027865,15,39
0xc5bf64ef4ba1d1c0e63f4d84b849a0a810f708c4,2.6271,2.1542,136.129939,0.0000,1405,0.084698,357.631072,15,119
0xa49203ef11a95e47ac522db53b79c453df0476a5,4.7595,4.1141,0.430876,0.0000,2156,0.120594,2.050740,61,260
0xaf3d382ebbe7970a0aad8a9c8f08469b54f660c0,1.3481,1.1189,0.000319,0.0000,1080,0.060185,0.000430,46,65
0x55bdb3fdfb653c5d51365d5da9cc14e100ffcaa4,1.3481,1.1189,0.000319,0.0000,1100,0.075455,0.000430,59,83
0x2cce68b84b20b512fd19a8342a2146bafcf0bf7f,1.3481,1.1189,0.000351,0.0000,1217,0.228431,0.000473,134,278
0x5bc52e705e14c0146e30ea69d39e33fd7e042142,1.3622,1.1306,0.002554,0.0000,1412,0.298867,0.003479,142,422
0x1fe53d002f4a2dcd46cff405a1b5e34d01e4eb90,5.2298,4.4976,0.533941,0.0000,1487,0.021520,2.792400,5,32
0x994f21ad9f08e71557001c5edcc8bb44bcd00f59,1.5664,1.0182,0.017746,0.0000,1423,0.028110,0.027797,17,40
0x131a594616312a1de33777113acebe73eae0368b,27.4140,18.7155,0.209223,0.0000,1787,0.123671,5.735624,38,221
0xc135725230a91b002025aeeb97dc8c29dd026cad,3.1170,2.5871,9.903123,0.0000,2811,0.135539,30.868379,86,381
0xa323a54987ce8f51a648af2826beb49c368b8bc6,1.3248,1.0996,0.000318,0.0000,1626,0.271833,0.000422,201,442
0x8666e8b85aada05af6350b57595f1cde004b2793,2.1853,1.4202,0.005192,0.0000,1552,0.122423,0.011346,54,190
0x2e5ca30ee0ae2dbd7d61aa29ad141f6e6bdf5378,1.3140,1.0906,0.000956,0.0000,1075,0.054884,0.001257,37,59
0x30f89f5f4cf25f457b4d9cbfb64a64a97f00bed0,0.0000,0.0000,0.000000,0.0000,1395,0.957706,0.524064,130,1336
0x8991fb72af79bc853ab58dab690579deae5fd22d,1.6421,1.4122,0.023175,0.0000,1787,0.184667,0.038056,104,330
0x9a97dbc9baa91707b5bde45c810536c17b8ceb15,1.3245,1.0994,0.000319,0.0000,1802,1.287458,0.000423,605,2320
0xed74c5126b667e8828e252ffaebc32206f5d21f2,1.1717,1.0253,0.003105,0.0000,294,0.108844,0.003638,18,32
0x249a8621eacf869efa6a5fe1c4c697dfa818e237,1.3430,1.1147,0.001606,0.0000,1617,0.283859,0.002157,122,459
0x06a84a5364af1f043b77e10bce2568e94af76d5a,0.0000,0.0000,0.000000,0.0000,1624,0.663177,0.002055,296,1077
0xd6901c3ffb6bd0cac3169892d51d7e0001cd13b8,1.3572,1.1264,0.002315,0.0000,1368,0.188596,0.003142,121,258
0x65ef8fd6168a4bc2cfebf83b0c83a8a9b7aad1f9,1.3581,1.1272,0.001923,0.0000,2939,0.400817,0.002611,305,1178
0x9e9e7f7c3a3849afbf4d6302e7698bb139dc1371,1.3505,1.1209,0.000321,0.0000,1365,0.066667,0.000433,54,91
0x2b60f64201d99282a19beb47c455627960395598,1.3505,1.1209,0.000643,0.0000,1428,0.095238,0.000869,82,136
0xd117691943ff00ecdcc8b446e6653444b4b6672b,1.3505,1.1209,0.000224,0.0000,1358,0.047128,0.000302,45,64
0x6d2742b2ccb325aa854cb2648a0841655a7c9c22,1.3505,1.1209,0.000249,0.0000,1358,0.049337,0.000336,45,67
0x026b6e0ffdf858c0fb1b4acb73591873ac9da472,1.3505,1.1209,0.000192,0.0000,1317,0.038724,0.000259,36,51
0x2ef15a729d9a64ca966aee408675c11ff0e2d757,1.3505,1.1209,0.000224,0.0000,1317,0.041002,0.000302,37,54
0x3d1c2f7e32a16e638daa809cbfa697d4fd76f2c2,1.3503,1.1207,0.000224,0.0000,1317,0.040243,0.000302,37,53
0x6c19f5d1e8cae3dc31e5b6838aae33fb9d2a242e,1.3503,1.1207,0.000169,0.0000,2424,0.324257,0.000228,359,786
0x0b148b0d0838a9abd30f9cb51ae2dd6a7c3cdfd0,1.3503,1.1207,0.000240,0.0000,1317,0.054670,0.000324,45,72
0x3fcba75f5d6022edb35c432adf8206cb54363a7d,1.3502,1.1207,0.000643,0.0000,1428,0.112045,0.000869,79,160
0x0aae0df463c77daae3cee78a38e16a06b552c445,1.3502,1.1207,0.000256,0.0000,1358,0.057437,0.000346,52,78
0x23161001833101caf8a2d23f3a817b6f44f55ff6,1.3556,1.1251,0.000224,0.0000,1317,0.042521,0.000303,39,56
0xed6062c70b1b5b3506b7323c8373eab309bff51d,1.3556,1.1251,0.000224,0.0000,1317,0.041762,0.000303,39,55
0xa04292c73b160f2165bda96c00ee4900287d3713,1.3555,1.1251,0.000192,0.0000,1317,0.041002,0.000260,38,54
0xaf405b8b91bfdef9634bceb3f0b080957c5a7c7a,1.3555,1.1251,0.000246,0.0000,1358,0.057437,0.000334,46,78
0xf78f2bba5ea14419ff7cb5e68d192cd214ec049e,1.3525,1.1226,0.000626,0.0000,1536,0.289063,0.000847,251,444
0x560f0b51eca3f4c6e5873de9091c8f4c200e8ac1,1.3668,1.1345,0.001770,0.0000,1265,0.220553,0.002420,127,279
0x82081d64f48ee65351dedaddaceb02cc14d566e3,0.0000,0.0000,0.000000,0.0000,1273,0.007070,1.712754,6,9
0xcfea03702066fd06a3331d1a347931103a1fde38,0.0000,0.0000,0.000000,0.0000,14,0.285714,13.213513,4,4
0xa814e0fe83c4206cffc4e4c75c874573cd60f258,0.0000,0.0000,0.000000,0.0000,15,0.933333,0.136982,9,14
0xa4dc23608db92c532e9f1b73f6a80b687bf38554,1.4468,1.2009,0.878476,0.0000,1399,0.106505,1.270998,46,149
0xf9e1d1e9f22c96752356adfd377231528c7e851e,0.0000,0.0000,0.000000,0.0000,1738,1.291715,0.001128,655,2245
0xcd747f6138582bcf60b4efb4b3622630029c5612,1.3725,1.1391,0.001720,0.0000,1465,0.255973,0.002360,163,375
0x8dd4abfc90031237b8a0736d7485f0c4b4601872,1.3640,1.1322,0.000236,0.0000,1458,0.135117,0.000322,127,197
0xc699104fafa74444ca4a4fa09f09dc604d403510,9.2681,6.3552,0.001534,0.0000,2723,0.026809,0.014221,30,73
0x06b58a6711983515181262fd0d943f73fcb767d3,0.0000,0.0000,0.000000,0.0000,1414,1.027581,0.003353,473,1453
