repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions,cluster,anomaly,score_raw,rank,credit_score
3.7447,2.8834,0.000292,0.0,1479,0.171062,0.001093,69,253,0,1,-0.1624674924852528,1177.0,476.9896193771626
1.4755,1.2247,0.000322,0.0,1330,0.1,0.000476,83,133,0,1,-0.21523724406756453,1385.0,411.0149942329873
1.4574,1.2097,0.000161,0.0,1818,0.084708,0.000235,79,154,0,1,-0.08301877354300076,838.0,584.5155709342561
1.4819,1.23,0.00016,0.0,2361,0.592969,0.000238,449,1400,2,1,0.2908868655603746,129.0,386.8421052631579
1.4819,1.23,0.000279,0.0,1349,0.633062,0.000413,283,854,0,1,-0.05146603020600543,752.0,611.79354094579
1.4822,1.2303,0.000161,0.0,1148,0.046167,0.000238,30,53,0,1,-0.29017617046661487,1577.0,350.11534025374857
1.4734,1.2243,0.000876,0.0,1133,0.112092,0.001291,62,127,0,1,-0.2735445541418429,1528.0,365.65743944636677
0.0,1.157920892373162e+59,0.0,0.0,1658,1.337153,0.074822,482,2217,2,1,0.4535472774583903,88.0,535.1973684210526
1.3409,1.1086,0.00858,0.0,1242,2.707729,0.011506,463,3363,2,-1,0.36697183557573054,114.0,441.11842105263156
1.4376,1.1932,0.000962,0.0,1370,0.251825,0.001383,142,345,0,1,-0.15822363730756622,1154.0,484.2848904267589
1.4141,1.1737,0.000964,0.0,1441,0.292158,0.001363,164,421,0,1,-0.12387702277136295,982.0,538.840830449827
1.4209,1.1794,0.0004,0.0,1517,0.227423,0.000568,87,345,0,1,-0.13530179593517683,1028.0,524.2502883506344
0.0,1.157920892373162e+59,0.0,0.0,1518,0.075758,0.002739,54,115,0,1,0.03247373456981208,509.0,688.8696655132642
1.5651,1.1682,0.003042,0.0,1297,0.639167,0.004762,115,829,0,1,-0.10962958941931683,930.0,555.3344867358708
7.2062,6.1973,2.624906,0.0,1466,0.137108,18.91558,59,201,0,1,-0.15849249030385465,1156.0,483.65051903114187
0.0,1.157920892373162e+59,0.0,0.0,75,0.186667,0.001001,7,14,0,1,-0.366710977433916,1679.0,317.76239907727796
1.1498,1.006,3.88747,0.0,1409,1.737402,4.469682,156,2448,2,1,0.16981350950192547,143.0,336.1842105263158
1.3471,1.1181,0.000636,0.0,1140,0.281579,0.000857,147,321,0,1,-0.2173650310823745,1393.0,408.47750865051904
1.3241,1.099,0.000322,0.0,1312,0.48628,0.000427,193,638,0,1,-0.11518613325583114,946.0,550.2595155709342
0.0,1.157920892373162e+59,0.0,0.0,11,0.272727,0.138357,4,3,0,1,-0.37391398655700997,1688.0,314.90772779700114
0.0,1.157920892373162e+59,0.0,0.0,1690,0.074556,0.021649,32,126,0,1,0.07449682810973385,357.0,737.0818915801615
1.3428,1.1145,0.000964,0.0,1606,0.112702,0.001294,64,181,0,1,-0.14016246099715324,1054.0,516.0034602076124
0.0,1.157920892373162e+59,0.0,0.0,1565,0.398083,27.903711,63,623,0,1,0.13227137724928179,245.0,772.6066897347174
0.0,1.157920892373162e+59,0.0,0.0,1897,0.597786,0.0011,412,1134,0,1,0.3490712898381406,53.0,833.5063437139562
1.5303,1.316,0.018209,0.0,1275,0.030588,0.027865,15,39,0,1,-0.2618269442853818,1499.0,374.8558246828143
2.6166,2.1456,136.675576,0.0,1405,0.084698,357.631073,15,119,0,-1,0.3115227200094223,71.0,827.7970011534026
4.7457,4.1022,0.432603,0.0,2156,0.120594,2.053016,61,260,0,1,0.017514151619172087,568.0,670.1557093425606
1.3432,1.1148,0.00032,0.0,1080,0.060185,0.00043,46,65,0,1,-0.302277045502335,1594.0,344.72318339100343
1.3432,1.1148,0.00032,0.0,1100,0.075455,0.00043,59,83,0,1,-0.2904767501797116,1579.0,349.4809688581315
1.3431,1.1148,0.000353,0.0,1218,0.228243,0.000474,134,278,0,1,-0.20854402483281595,1366.0,417.0415224913495
1.3572,1.1265,0.002564,0.0,1412,0.298867,0.003479,142,422,0,1,-0.13659263110708542,1034.0,522.3471741637832
5.2102,4.4808,0.535945,0.0,1487,0.02152,2.7924,5,32,0,1,-0.20480141663669083,1356.0,420.2133794694348
1.5664,1.0182,0.017812,0.0,1423,0.02811,0.027901,17,40,0,1,-0.22086337009828863,1401.0,405.9400230680508
27.3045,18.6408,0.210061,0.0,1787,0.123671,5.735625,38,221,0,1,-0.08979129606986522,874.0,573.0968858131488
3.1056,2.5776,9.940375,0.0,2811,0.135539,30.8706,86,381,0,1,0.25105600959733854,104.0,817.3298731257208
1.32,1.0956,0.00032,0.0,1626,0.271833,0.000422,201,442,0,1,-0.06512276956402238,785.0,601.3264129181084
2.1528,1.3991,0.00521,0.0,1552,0.122423,0.011217,54,190,0,1,-0.1558497495104261,1137.0,489.677047289504
1.3092,1.0866,0.00096,0.0,1075,0.054884,0.001257,37,59,0,1,-0.3069861916057865,1607.0,340.5997693194925
0.0,1.157920892373162e+59,0.0,0.0,1395,0.957706,0.5241,130,1336,0,1,0.19661414288466283,143.0,804.959630911188
1.636,1.407,0.023262,0.0,1787,0.184667,0.038057,104,330,0,1,-0.06301832792761611,779.0,603.2295271049596
1.3197,1.0953,0.000321,0.0,1802,1.287458,0.000423,605,2320,2,1,0.315592879047341,125.0,401.3157894736842
1.1717,1.0253,0.003116,0.0,294,0.108844,0.003652,18,32,0,1,-0.5208540493774343,1720.0,304.75778546712803
1.3381,1.1106,0.001612,0.0,1617,0.283859,0.002157,122,459,0,1,-0.08559889303958035,851.0,580.3921568627451
0.0,1.157920892373162e+59,0.0,0.0,1625,0.662769,0.002055,296,1077,0,1,0.2502290107092029,107.0,816.3783160322953
1.3522,1.1223,0.002324,0.0,1368,0.188596,0.003142,121,258,0,1,-0.17694174259613235,1251.0,453.517877739331
1.3531,1.123,0.00193,0.0,2939,0.400817,0.002611,305,1178,0,1,0.37603738559487715,36.0,838.8985005767013
1.3456,1.1168,0.000322,0.0,1365,0.066667,0.000433,54,91,0,1,-0.21963867717751148,1399.0,406.57439446366783
1.3456,1.1168,0.000646,0.0,1428,0.095238,0.000869,82,136,0,1,-0.189022256214112,1303.0,437.02422145328717
1.3456,1.1168,0.000225,0.0,1358,0.047128,0.000302,45,64,0,1,-0.22783637828643455,1427.0,397.6931949250288
1.3456,1.1168,0.00025,0.0,1358,0.049337,0.000336,45,67,0,1,-0.22739323324731556,1425.0,398.32756632064593
1.3456,1.1168,0.000193,0.0,1317,0.038724,0.000259,36,51,0,1,-0.24321225050453446,1461.0,386.90888119953865
1.3456,1.1168,0.000225,0.0,1317,0.041002,0.000302,37,54,0,1,-0.24250092771170062,1459.0,387.5432525951557
1.3453,1.1166,0.000225,0.0,1317,0.040243,0.000302,37,53,0,1,-0.24265168163033524,1460.0,387.2260668973472
1.3453,1.1166,0.00017,0.0,2424,0.324257,0.000228,359,786,0,1,0.21904791719473804,132.0,808.4486735870819
1.3453,1.1166,0.000241,0.0,1317,0.05467,0.000324,45,72,0,1,-0.23771588262260188,1446.0,391.6666666666667
1.3453,1.1166,0.000646,0.0,1428,0.112045,0.000869,79,160,0,1,-0.18637115528227907,1284.0,443.05074971164936
1.3453,1.1166,0.000257,0.0,1358,0.057437,0.000346,52,78,0,1,-0.22395679870051466,1408.0,403.719723183391
1.3506,1.121,0.000225,0.0,1317,0.042521,0.000304,39,56,0,1,-0.24168162948119326,1455.0,388.81199538638987
1.3506,1.121,0.000225,0.0,1317,0.041762,0.000304,39,55,0,1,-0.24183238336647084,1456.0,388.4948096885813
1.3506,1.121,0.000193,0.0,1317,0.041002,0.00026,38,54,0,1,-0.24224219898016963,1457.0,388.17762399077276
1.3506,1.121,0.000247,0.0,1358,0.057437,0.000334,46,78,0,1,-0.22550978878306677,1418.0,400.54786620530564
1.3476,1.1185,0.000629,0.0,1536,0.289063,0.000847,251,444,0,1,-0.07452503920913066,813.0,592.4452133794694
1.3618,1.1303,0.001777,0.0,1265,0.220553,0.00242,127,279,0,1,-0.19840730714199006,1339.0,425.60553633217995
0.0,1.157920892373162e+59,0.0,0.0,1274,0.007064,1.719164,6,9,0,1,-0.06048026943303812,772.0,605.4498269896194
0.0,1.157920892373162e+59,0.0,0.0,14,0.285714,13.214464,4,4,0,1,-0.3635507200324628,1674.0,319.3483275663206
0.0,1.157920892373162e+59,0.0,0.0,15,0.933333,0.136992,9,14,0,1,-0.2816692654227166,1555.0,357.0934256055363
1.444,1.1985,0.880261,0.0,1399,0.106505,1.27109,46,149,0,1,-0.20139432694707077,1351.0,421.7993079584775
0.0,1.157920892373162e+59,0.0,0.0,1738,1.291715,0.001128,655,2245,2,1,0.5155028570163858,70.0,600.328947368421
1.3674,1.135,0.001726,0.0,1465,0.255973,0.00236,163,375,0,1,-0.12463457046258646,986.0,537.5720876585929
