address,repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions,kmeans_cluster,anomaly
0x53e3aea8ba8f0d6cb821e650cee22c1f1e7dd12c,1.3789,1.1867,0.274764,0.0,1001,0.273726,0.378865,3,274,0,1
0xc61c2f6769dad4b5a99fa13cead5e007739b85f1,0.0,1.157920892373162e+59,0.0,0.0,1437,0.171886,0.00221,5,247,0,1
0x735587aa624a21bcdb2b4558dfed94508b32af83,1.8818,1.543,5.936764,0.0,1815,0.29146,11.171574,18,529,0,1
0x7b9deffca9356a99f95759afc6e709422d845a7c,3.7441,2.883,0.000291,0.0,1479,0.171062,0.00109,4,253,0,1
0x15b7ecf1f55d05dc8246c484230792e71bcb41a2,1.4784,1.2271,0.000322,0.0,1330,0.1,0.000476,6,133,0,1
0xa63fce6b18153fff324741789b49b1f0d885b174,1.4603,1.212,0.000161,0.0,1818,0.084708,0.000235,24,154,0,1
0x9d9c1715c66cbee0566f509b8db7344095d93622,1.4848,1.2324,0.00016,0.0,2361,0.592969,0.000238,88,1400,0,1
0x8a0c098e896fa309828a35ce714403d23cbbcf3a,1.4848,1.2324,0.000278,0.0,1349,0.631579,0.000413,45,852,0,1
0x32fdc6549b11badc23e8728b234b6b8b51d0445e,1.4852,1.2327,0.00016,0.0,1147,0.046207,0.000238,1,53,0,1
0x19b421632a376335ab767e651e69ad9d378b2f54,1.4763,1.2266,0.000874,0.0,1133,0.112092,0.001291,2,127,0,1
0x53d8edf6a54239eb785ec72213919fb6b6b73598,0.0,1.157920892373162e+59,0.0,0.0,1658,1.337153,0.074671,18,2217,0,1
0x238643d4106c7c6206f8dc31acb59cd24c979d12,1.3333,1.1022,0.008629,0.0,1242,2.707729,0.011504,9,3363,0,1
0x0985949bd60d4ff68043d461e8989bef8e9b3237,1.4405,1.1956,0.00096,0.0,1370,0.251825,0.001383,6,345,0,1
0x239be1f15e673538b6b5b41ca843a9ae37fd7599,1.4169,1.1761,0.000962,0.0,1441,0.292158,0.001363,16,421,0,1
0x12b21d1e73b3b48d73da04ed05417b392c7fe55f,1.4237,1.1817,0.000399,0.0,1517,0.227423,0.000568,15,345,0,1
0xb3f2a049ba7ff3debad43515e8f29c9fc31c5d06,0.0,1.157920892373162e+59,0.0,0.0,1518,0.075758,0.002733,5,115,0,1
0xfcaf23cd231a119c7eee6eb0d6a795de1739c541,1.5653,1.1682,0.003036,0.0,1297,0.639167,0.004752,21,829,0,1
0xec75f9c19da955603c411f921048e7f864c6691b,7.2209,6.21,2.619547,0.0,1466,0.137108,18.915575,5,201,0,1
0x82fae5e6f52fe2169e7f774e58585276c4d7f8da,0.0,1.157920892373162e+59,0.0,0.0,75,0.186667,0.001001,1,14,0,1
0x0084ee6c8893c01e252198b56ec127443dc27464,1.1498,1.0061,3.879543,0.0,1409,1.738112,4.460687,19,2449,0,1
0x20c0ffe245c1f21141dfef273de035e855e46b96,1.3498,1.1203,0.000635,0.0,1140,0.281579,0.000857,12,321,0,1
0xc5293c9328e59bbe80c4d92ebbc3253e48d21397,1.3267,1.1011,0.000322,0.0,1312,0.48628,0.000427,18,638,0,1
0x26d56f515e09885d9f3cdcff1699bce1d0a06031,0.0,1.157920892373162e+59,0.0,0.0,11,0.272727,0.138357,1,3,0,1
0xbe9c0606aae22ae06c2400e132a699e082b2b169,0.0,1.157920892373162e+59,0.0,0.0,1690,0.074556,0.021703,5,126,0,1
0x9237305e51715b47f24fbfc7c28810781d970809,1.3454,1.1167,0.000962,0.0,1605,0.112773,0.001294,3,181,0,1
0x7876f6af2abc7a3dd0e31683ee4dfe694e8729c2,0.0,1.157920892373162e+59,0.0,0.0,1565,0.398083,27.903711,8,623,0,1
0xf8f1e33fd68be886c9638a636a2ef716801383a4,0.0,1.157920892373162e+59,0.0,0.0,1897,0.597786,0.001097,14,1134,0,1
0x669a6db19c3f688e81a45c080a4d58d038e4bbf3,1.5334,1.3187,0.018172,0.0,1275,0.030588,0.027865,4,39,0,1
0xc5bf64ef4ba1d1c0e63f4d84b849a0a810f708c4,2.6224,2.1504,136.373328,0.0,1405,0.084698,357.631072,4,119,2,-1
0xa49203ef11a95e47ac522db53b79c453df0476a5,4.7534,4.1088,0.431647,0.0,2156,0.120594,2.051787,8,260,0,1
0xaf3d382ebbe7970a0aad8a9c8f08469b54f660c0,1.3458,1.117,0.00032,0.0,1079,0.060241,0.00043,3,65,0,1
0x55bdb3fdfb653c5d51365d5da9cc14e100ffcaa4,1.3458,1.117,0.00032,0.0,1100,0.075455,0.00043,3,83,0,1
0x2cce68b84b20b512fd19a8342a2146bafcf0bf7f,1.3458,1.117,0.000352,0.0,1217,0.228431,0.000473,8,278,0,1
0x5bc52e705e14c0146e30ea69d39e33fd7e042142,1.3599,1.1287,0.002558,0.0,1412,0.298867,0.003479,6,422,0,1
0x1fe53d002f4a2dcd46cff405a1b5e34d01e4eb90,5.2208,4.4899,0.534857,0.0,1487,0.02152,2.792399,2,32,0,1
0x994f21ad9f08e71557001c5edcc8bb44bcd00f59,1.5664,1.0182,0.017776,0.0,1423,0.02811,0.027845,6,40,0,1
0x131a594616312a1de33777113acebe73eae0368b,27.4639,18.6837,0.209597,0.0,1787,0.123671,5.756351,3,221,0,1
